,state,timestamp,id_house,id_sensor
68,off,1674054704.41107,8,50
69,off,1674054708.886641,8,49
70,on,1675680484.389208,8,51
71,off,1675680554.383272,8,51
72,on,1675680695.903345,8,45
73,off,1675680705.951994,8,45
74,on,1675680706.077153,8,45
75,on,1675680706.193084,8,51
76,off,1675680776.195763,8,51
77,on,1675681680.376487,8,50
78,off,1675681695.376753,8,50
79,on,1675681812.644497,8,49
80,off,1675681827.639659,8,49
81,on,1675681911.515913,8,51
82,off,1675681981.517062,8,51
83,on,1675682188.128109,8,51
84,on,1675682214.659002,8,48
85,off,1675682219.647367,8,48
86,off,1675682258.129978,8,51
87,on,1675685855.652593,8,51
88,off,1675685925.655438,8,51
89,off,1676023895.777502,8,51
90,on,1676024091.888544,8,51
91,off,1676024161.889569,8,51
92,off,1676025053.973223,8,48
93,off,1676025186.867716,8,49
94,on,1676025187.863074,8,49
95,off,1676025202.865387,8,49
96,on,1676025208.309614,8,51
97,off,1676025278.30795,8,51
98,on,1676025413.483725,8,51
99,off,1676025483.485307,8,51
100,off,1676025496.385663,8,50
101,on,1676025646.812398,8,51
102,off,1676025716.815287,8,51
103,on,1676025883.81192,8,51
104,off,1676025953.81329,8,51
105,on,1676025963.801868,8,51
106,off,1676026033.804632,8,51
107,off,1676028768.509435,8,48
108,on,1676028823.775376,8,48
109,off,1676028828.77762,8,48
110,on,1676028862.261649,8,48
111,off,1676028867.260648,8,48
112,on,1676028896.779512,8,48
113,on,1676028896.936868,8,50
114,off,1676028901.781682,8,48
115,on,1676028902.657324,8,48
116,off,1676028907.659379,8,48
117,on,1676028908.900484,8,48
118,on,1676028911.724291,8,49
119,off,1676028911.939344,8,50
120,on,1676028912.698995,8,50
121,off,1676028923.871148,8,48
122,off,1676028926.727463,8,49
123,off,1676028927.699865,8,50
124,on,1676028928.913292,8,48
125,on,1676028929.382693,8,50
126,off,1676028933.915493,8,48
127,on,1676028937.852824,8,48
128,off,1676028942.85615,8,48
129,on,1676028943.434509,8,48
130,off,1676028944.384599,8,50
131,off,1676028948.43602,8,48
132,on,1676028950.578583,8,48
133,off,1676028955.578466,8,48
134,off,1676028966.634534,8,51
135,on,1676028972.307708,8,51
136,on,1676028972.642353,8,48
137,off,1676028982.632929,8,48
138,on,1676028983.440494,8,48
139,off,1676028988.442622,8,48
140,on,1676029011.296748,8,48
141,off,1676029021.278072,8,48
142,on,1676029022.171272,8,48
143,off,1676029027.172486,8,48
144,on,1676029027.268194,8,48
145,off,1676029037.249538,8,48
146,on,1676029043.432805,8,48
147,off,1676029048.42973,8,48
148,on,1676029049.038643,8,48
149,off,1676029059.025112,8,48
150,on,1676029069.125145,8,48
151,off,1676029079.115182,8,48
152,on,1676029090.221656,8,48
153,off,1676029100.203986,8,48
154,on,1676029102.368309,8,48
155,off,1676029107.368061,8,48
156,on,1676029108.233693,8,48
157,off,1676029118.220095,8,48
158,on,1676029119.947995,8,48
159,on,1676029121.34269,8,50
160,off,1676029129.933656,8,48
161,off,1676029136.345868,8,50
162,on,1676029407.645859,8,50
163,on,1676029407.729054,8,49
164,on,1676029410.409975,8,48
165,on,1676029411.191214,8,45
166,off,1676029415.411619,8,48
167,off,1676029422.64174,8,50
168,off,1676029422.726028,8,49
169,off,1676029443.694093,8,45
170,on,1676029443.984856,8,45
171,on,1676029444.335754,8,48
172,on,1676029444.9928,8,50
173,off,1676029449.340248,8,48
174,off,1676029457.886437,8,46
175,on,1676029457.952091,8,46
176,off,1676029457.979382,8,46
177,off,1676029459.994194,8,50
178,on,1676029505.348758,8,50
179,on,1676029505.893524,8,49
180,off,1676029520.34991,8,50
181,off,1676029520.893075,8,49
182,on,1676029611.580556,8,49
183,off,1676029626.582786,8,49
184,off,1676029720.265844,8,51
185,on,1676029721.670623,8,51
186,on,1676029739.111384,8,46
187,off,1676029739.150699,8,46
188,off,1676029739.21707,8,45
189,on,1676029739.449843,8,50
190,on,1676029739.566718,8,49
191,off,1676029754.450959,8,50
192,off,1676029754.567026,8,49
193,on,1676029765.575419,8,49
194,off,1676029780.578417,8,49
195,on,1676029784.104066,8,49
196,off,1676029799.110155,8,49
197,on,1676029848.744235,8,49
198,off,1676029863.745941,8,49
199,off,1676029915.045242,8,51
200,on,1676029919.656869,8,51
201,on,1676029926.454669,8,50
202,on,1676029927.793187,8,49
203,off,1676029941.457221,8,50
204,off,1676029942.793863,8,49
205,on,1676029988.450622,8,49
206,off,1676030003.450853,8,49
207,on,1676030040.694306,8,50
208,off,1676030055.695551,8,50
209,on,1676030069.09164,8,49
