,steps,battery,timestamp,id_beacon
0,0,83,1674048181.676582,9
1,0,81,1674048336.779652,9
2,0,80,1674048404.198278,9
3,0,75,1674048680.047949,9
4,0,74,1674048725.029301,9
5,0,73,1674048787.461595,9
6,0,72,1674048879.79452,9
7,0,71,1674049026.218505,9
8,0,71,1674049092.628582,9
9,0,71,1674049265.120608,9
10,0,70,1674049460.764794,9
11,0,70,1674049505.852035,9
12,0,70,1674049588.707909,9
13,0,70,1674049632.83041,9
14,0,70,1674049684.681688,9
15,0,70,1674049729.799449,9
16,0,69,1674049913.999978,9
17,0,69,1674049969.745306,9
18,0,69,1674050074.656136,9
19,0,69,1674050158.594301,9
20,0,68,1674050205.720929,9
21,0,68,1674050283.687995,9
22,0,68,1674050356.710014,9
23,0,68,1674050408.459292,9
24,0,68,1674050454.569781,9
25,0,68,1674050525.614433,9
26,0,68,1674050567.834776,9
27,0,68,1674050614.8917,9
28,0,68,1674050680.723698,9
29,0,68,1674050721.026533,9
30,0,68,1674050763.303491,9
31,0,68,1674050799.701435,9
32,0,68,1674050867.928433,9
33,0,68,1674050908.167816,9
34,0,68,1674050950.467189,9
35,0,68,1674050994.751425,9
36,0,67,1674051061.036074,9
37,0,67,1674051133.399624,9
38,0,67,1674051205.076673,9
39,0,67,1674051246.420988,9
40,0,67,1674051320.700749,9
41,0,67,1674051409.466065,9
42,0,67,1674051481.732665,9
43,0,66,1674051541.688596,9
44,0,66,1674051584.433851,9
45,0,66,1674051676.987148,9
46,0,66,1674051723.046451,9
47,0,66,1674051782.736968,9
48,0,66,1674051844.313775,9
49,0,66,1674051898.144608,9
50,0,65,1674051955.046702,9
51,0,65,1674052003.0026,9
52,0,65,1674052083.089911,9
53,0,65,1674052138.171042,9
54,0,64,1674052330.008671,9
55,0,64,1674052383.148682,9
56,0,64,1674052472.612678,9
57,0,64,1674052639.455963,9
58,0,64,1674052787.836659,9
59,0,64,1674052881.342318,9
60,0,64,1674052929.285064,9
61,0,64,1674052969.529162,9
62,0,64,1674053062.967286,9
63,0,64,1674053134.232769,9
64,0,64,1674053180.383249,9
65,0,64,1674053227.521051,9
66,0,64,1674053322.867962,9
67,0,64,1674053367.024755,9
68,0,64,1674053718.181597,9
69,0,64,1674053784.344045,9
70,0,64,1674053843.039408,9
71,0,64,1674054073.688894,9
72,0,63,1674054143.820079,9
73,0,63,1674054341.745734,9
74,0,97,1676029349.846474,9
75,0,97,1676029354.185235,9
76,0,97,1676029483.273844,9
77,0,97,1676029487.856345,9
78,118,97,1676029800.529555,9
79,118,97,1676029804.965994,9
80,118,97,1676029963.01103,9
81,118,97,1676029967.447541,9
82,118,97,1676030609.314921,9
83,118,97,1676030613.897288,9
84,118,97,1676030724.807296,9
85,118,97,1676030729.243792,9
86,118,97,1676030888.38857,9
87,118,97,1676030892.727499,9
88,118,97,1676031203.713144,9
89,118,97,1676031208.100759,9
90,118,100,1676031549.831263,9
91,118,100,1676031554.072665,9
92,118,100,1676032068.527708,9
93,118,100,1676032073.20793,9
94,118,96,1676032542.532893,9
95,118,96,1676032546.774174,9
96,738,52,1676398309.684639,9
97,738,52,1676398313.911847,9
98,738,52,1676398318.508707,9
99,738,52,1676398323.19114,9
100,738,52,1676398327.332187,9
101,738,52,1676398331.768716,9
102,738,52,1676398336.380671,9
103,738,52,1676398340.798616,9
104,738,52,1676398345.324978,9
105,738,52,1676398349.904073,9
106,738,52,1676398354.763432,9
107,738,52,1676398359.020177,9
108,738,52,1676398363.116297,9
109,738,52,1676398367.298242,9
110,738,52,1676398371.464893,9
111,738,52,1676398375.644569,9
112,738,52,1676398379.83698,9
113,738,52,1676398384.078082,9
114,738,52,1676398388.465797,9
115,738,52,1676398392.902358,9
116,738,52,1676398397.297696,9
117,738,52,1676398401.426806,9
118,738,52,1676398405.528289,9
119,738,52,1676398409.714028,9
120,738,52,1676398413.913861,9
121,738,52,1676398418.154819,9
122,738,52,1676398422.688571,9
123,738,52,1676398427.027747,9
124,738,52,1676398431.512623,9
125,738,52,1676398435.706261,9
126,738,52,1676398439.898418,9
127,738,52,1676398443.992998,9
128,738,52,1676398448.185198,9
129,738,52,1676398452.426881,9
130,738,52,1676398456.625709,9
131,738,52,1676398460.714427,9
132,738,52,1676398464.956929,9
133,738,52,1676398469.050871,9
134,738,52,1676398473.392416,9
135,738,52,1676398477.484769,9
136,738,52,1676398481.676943,9
137,738,52,1676398485.876553,9
138,738,52,1676398489.987586,9
139,738,52,1676398494.123212,9
140,738,52,1676398498.203488,9
141,738,52,1676398502.591409,9
142,738,52,1676398507.027514,9
143,738,52,1676398511.142899,9
144,738,52,1676398515.266722,9
145,738,52,1676398519.459489,9
146,738,52,1676398523.701739,9
147,738,52,1676398527.811503,9
148,738,52,1676398531.940029,9
149,738,52,1676398536.213694,9
